KldB_Code,KldB_Label,ESCO_Code,ESCO_Label
B 01104-104,Offizier im Sanitätsdienst,C0110,Offiziere in regulären Streitkräften
B 01104-105,Offizier im Geoinformationsdienst,C0110,Offiziere in regulären Streitkräften
B 01104-106,Offizier im Militärmusikdienst,C0110,Offiziere in regulären Streitkräften
B 01302-101,Fachunteroffizier im allgemeinen Fachdienst,C0210,Unteroffiziere in regulären Streitkräften
B 01203-100,Feldwebel im Truppendienst,C0210,Unteroffiziere in regulären Streitkräften
B 01203-101,Feldwebel im allgemeinen Fachdienst,C0210,Unteroffiziere in regulären Streitkräften
B 01302-102,Fachunteroffizier im Sanitätsdienst,C0210,Unteroffiziere in regulären Streitkräften
B 01302-103,Fachunteroffizier im Geoinformationsdienst,C0210,Unteroffiziere in regulären Streitkräften
B 01302-104,Fachunteroffizier im Militärmusikdienst,C0210,Unteroffiziere in regulären Streitkräften
B 01203-102,Feldwebel im Sanitätsdienst,C0210,Unteroffiziere in regulären Streitkräften
B 01203-103,Feldwebel im Militärmusikdienst,C0210,Unteroffiziere in regulären Streitkräften
B 01203-104,Feldwebel im Geoinformationsdienst,C0210,Unteroffiziere in regulären Streitkräften
B 11184-102,Entwicklungshelfer/Entwicklungshelferin,C2132,"Agrar-, Forst- und Fischereiwissenschaftler und -berater"
B 51534-100,Flugunfalluntersucher/Flugunfalluntersucherin,C2149,"Ingenieure, anderweitig nicht genannt"
B 73204-109,Beamter/Beamtin bei Behörden des Bundes (höherer technischer Dienst),C2149,"Ingenieure, anderweitig nicht genannt"
B 53124-129,CE-Beauftragter/CE-Beauftragte,C2149,"Ingenieure, anderweitig nicht genannt"
B 82214-121,Leiter/Leiterin - Medizincontrolling,C2263,Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene
B 43153-112,Internettechnologe/Internettechnologin,C2513,Web- und Multimediaentwickler
B 73254-100,Beamter/Beamtin in der Justizverwaltung (höherer Dienst),C2619,"Juristen, anderweitig nicht genannt"
B 94714-102,Technikwissenschaftler/Technikwissenschaftlerin,C2621,Archiv- und Museumswissenschaftler
B 93323-150,Scherenschneider/Scherenschneiderin,C2651,Bildende Künstler
B 73203-100,Beamter/Beamtin bei Behörden des Bundes (gehobener technischer Dienst),C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
B 73203-101,Beamter/Beamtin in der Kommunalverwaltung (gehobener technischer Dienst),C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
B 73203-102,Beamter/Beamtin bei Behörden der Länder (gehobener technischer Dienst),C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
B 73202-100,Beamter/Beamtin in der Kommunalverwaltung (mittlerer technischer Dienst),C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
B 73202-101,Beamter/Beamtin bei Behörden der Länder (mittlerer technischer Dienst),C3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt"
B 28393-107,Kürschnermeister/Kürschnermeisterin,C3122,Produktionsleiter bei der Herstellung von Waren
B 93393-107,Vergoldermeister/Vergoldermeisterin,C3122,Produktionsleiter bei der Herstellung von Waren
B 11183-102,Staatlich geprüfte Fachkraft für EDV-gestützte Unternehmensführung,C3142,Agrartechniker
B 11183-103,Geprüfter Fachagrarwirt/Geprüfte Fachagrarwirtin - Landwirtschaftliche Direktvermarktung,C3142,Agrartechniker
B 52383-104,Freiballonführer/Freiballonführerin,C3153,Flugzeugführer und verwandte Berufe
B 52383-105,Luftschiffführer/Luftschiffführerin,C3153,Flugzeugführer und verwandte Berufe
B 81222-102,EEG-Assistent/EEG-Assistentin,C3211,Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte
B 73342-100,Medizinischer Dokumentar/Medizinische Dokumentarin,C3252,Fachkräfte im Bereich medizinische Dokumentation und Information
B 92384-101,Listbroker/in,C3339,"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt"
B 71393-109,"Gruppen-, Teamleiter/Gruppen-, Teamleiterin",C3341,Sekretariatsleiter
B 94482-101,Programmberufe (Fernsehen/Rundfunk),C3435,Sonstige Fachkräfte in Gestaltung und Kultur
B 51182-100,Funker/Funkerin,C3521,Techniker für Rundfunk und audiovisuelle Medien
B 11282-103,Vogelzüchter/Vogelzüchterin,C6129,"Tierhalter, anderweitig nicht genannt"
